"id","obj_vesion","date_created","message_type","template","notification_type","language"
"1","0","2009-10-06T00:00:00.0","TEXT","Tetanus is a disorder that leads to severe and painful muscle spasms. It is caused by a bacterium that is commonly found in soil, dust and animal waste.","2","1"
"2","0","2009-10-06T00:00:00.0","TEXT","Immunization against tetanus is recommended especially in pregnant women. Vaccination of pregnant women is the best preventive measure against neonatal tetanus.","3","1"
"3","0","2009-10-06T00:00:00.0","TEXT","You are due for your first tetanus vaccination in your pregnancy.  Please go to your nearest clinic to receive your vaccination.","4","1"
"4","0","2009-10-06T00:00:00.0","TEXT","All wounds should be considered risky, so always be cleaned with soap and water.  Some wounds, however small, such as from thorns of roses or lemon, are highly risky and perhaps even more than other large open wounds.","5","1"
"5","0","2009-10-06T00:00:00.0","TEXT","Tetanus in newborns is severe, with high mortality rate. It usually occurs by contamination of the umbilical cord at delivery or in the first days of life. Furthermore, this disease often aggravated by complications, including infectious, which are the triggers of death.","6","1"
"6","0","2009-10-06T00:00:00.0","TEXT","You have missed your first tetanus vaccination.  Please go to your nearest clinic to receive your vaccination.","7","1"
"7","0","2009-10-06T00:00:00.0","TEXT","This is your second reminder for missing your first tetanus vaccination.  Please go to your nearest clinic.","8","1"
"8","0","2009-10-06T00:00:00.0","TEXT","You are due for your second tetanus vaccination in your pregnancy.  Please go to your nearest clinic to receive your vaccination.","9","1"
"9","0","2009-10-06T00:00:00.0","TEXT","You have missed your second tetanus vaccination.  Please go to your nearest clinic to receive your vaccination.","10","1"
"10","0","2009-10-06T00:00:00.0","TEXT","This is your second reminder for missing your second tetanus vaccination.  Please go to your nearest clinic.","11","1"
"11","0","2009-10-06T00:00:00.0","TEXT","Hello <PatientFirstName>.  This is your message for week 1.  Your estimated due date is <DueDate>.","14","1"
"12","0","2009-10-06T00:00:00.0","TEXT","Hello <PatientFirstName>.  This is your message for week 2.  Your estimated due date is <DueDate>.","15","1"
"13","0","2009-10-06T00:00:00.0","TEXT","Hello <PatientFirstName>.  This is your message for week 3.  Your estimated due date is <DueDate>.","16","1"
"14","0","2009-10-06T00:00:00.0","TEXT","Hello <PatientFirstName>.  This is your message for week 4.  Your estimated due date is <DueDate>.","17","1"
"15","0","2009-10-06T00:00:00.0","TEXT","If U are pregnant&feel like hiding it for now,its normal.But remember the evil eye does not bring problems in pregnancy,most problems are because of things that can be treated if U go to clinic early.If U miss a period or think U are pregnant go to clinic NOW!Dont fear-midwives want to make sure U stay healthy&have a healthy baby.They will keep your secret.U get National Health Insurance free for 1year when pregnant so register now.*From Mobile Midwife*.","18","1"
"16","0","2009-10-06T00:00:00.0","TEXT","When pregnant there are reasons that U must go to clinic right away.If U have a bad headache,fever or vomiting.If U feel pain in the womb,or a very strong pain on 1 side of your body.If U are bleeding or more important if bleeding is heavy&painful.If U have dark yellow urine or blood&a burning feeling when you urinate.If U are very dizzy or have a very fast heartbeat.Don't be afraid to go to the clinic as the problem may be easy to cure.*From Mobile Midwife*","19","1"
"17","0","2009-10-06T00:00:00.0","TEXT","Even though U are not big yet,your baby's heart&brain are growing fast.As your womb grows U may have some light cramps&waist pain.U need to eat well now for your baby.Please avoid eating clay,ayilo or shrei.It can cause low blood,infection or worms.Try chewing on biscuits or vegetables instead.Don't smoke or take alcohol including Guiness as it will damage the baby.Please ask your doctor or midwife before using any traditional medicines.*From Mobile Midwife*.","20","1"
"18","0","2009-10-06T00:00:00.0","TEXT","How are U feeling this week?Baby is growing.He or she may be moving now& U will be able to feel it with time.Pregnancy is nice but there are some things U must get ready.Start by putting down some money each week for things for the baby. You don't need too much.Important things are baby napkins,dresses for U&baby,cot sheets sewn from aligudon,soap,towels,powder,shea butter,disenfectant like Camel & sanitary towels for U.*From Mobile Midwife*.","21","1"
"19","0","2009-10-06T00:00:00.0","TEXT","Bleeding in early pregnancy can make U worry but it is common.There are a few reasons for it happening.1.As the baby is settling in the womb U may have small bleeding for a day or two. 2.You might bleed small at the normal time for your period. 3.It could be from an infection. It is important to tell your midwife right away even if it is only small bleeding.Always report to the clinic straight away if bleeding is heavy or is painful.*From Mobile Midwife*.","22","1"
"20","0","2009-10-06T00:00:00.0","TEXT","All your baby's body parts are there now but not fully formed yet.U might not look pregnant but your waist is getting thicker. Are U feeling tired&sick now?It is normal&here are a few tips to help U cope. 1.U feel worse if hungry or worried so eat well&try to relax. 2.Take lots of water in small bits through day. 3.Don't eat heavy,spicy or oily food. 4.Take your tablets for the health of baby&talk to midwife if it is too much*From Mobile Midwife*.","23","1"
"21","0","2009-10-06T00:00:00.0","TEXT","Even though people may tell U not to have sex when pregnant,gentle sex is safe.If you&your partner feel OK with it then go ahead.If U have bleeding or pain then stop&speak to your midwife.If U have had miscarriages or sexually transmitted infections then talk to your midwife first.If U or your partner are HIV positive use condoms EVERY TIME.If U have itching down there or a change in your discharge get treated straight away at the clinic.*From Mobile Midwife*.","24","1"
"22","0","2009-10-06T00:00:00.0","TEXT","Now you are almost finished with the 1st stage of pregnancy.Just 2 more to go! U should be feeling brighter now with more energy.Now your baby's heart is beating&all body parts are formed.Your baby is the size of your thumb now & for the next 6 months will grow big,strong&ready for outside world.Congratulations & keep up the good work!*From Mobile Midwife&Ghana Health Service~Your Health-Our Concern*.","25","1"
"23","0","2009-10-06T00:00:00.0","TEXT","Congratulations for successfully going through the first stage of pregnancy!Have U gone to the midwife yet?Now is the time to go&its even better if you go with the baby's father.Its good for the father to be involved in the pregnancy.The support is helpful&it is also exciting for the father to learn what U are learning about the baby,taking care of yourself&the baby. Pregnancy is not easy-as U are seeing-so the help is nice*From Mobile Midwife*.","26","1"
"24","0","2009-10-06T00:00:00.0","TEXT","U may be showing your pregnancy now,but your baby is very small-about half the size of a banana.Baby can smile&suck its thumb.U should feel brighter now.If U are still vomitting a lot,see the midwife.Your baby now needs a range of food to grow strong.It is important to eat dairy now,like cow milk,yoghurt,wagashie&soya milk.U should still eat meat,fish,greens,grains&peas.Make sure your salt is iodated to prevent miscarriage&a disabled child.*From Mobile Midwife*.","27","1"
